,keluhan,bagian,id,keluhan_length,clean_keluhan
0,"Dear BAA Mohon di bantu untuk merubah status akademik A.N Rezza RIjki Adiputra di Forlap dikti, karena status nya disana masih Mahasiswa Aktif Semester 5.mohon di bantu.dilampirkan statusnya dengan gambar di bawah ini.B/RRezza Rijki Adiputra085724013138",BAA,1,253,baa bantu rubah status akademik an rezza rijki adiputra forlap dikti status nya mahasiswa aktif semester bantudilampirkan status gambar inibrrezza rijki adiputra
1,"Dear BAA Telkom University,
Saya sebagai salah satu Alumni TelU. Apa saya bisa melihat data TAK saya? Karena saya membutuhkan data tersebut. Mohon bantuan dan tanggapannya. Terima Kasih.
Regards,
Radian",BAA,1,202,baa telkom university salah alumni lihat data butuh data bantu tanggap radian
2,"Mohon maaf saya haidar mau komplain pada saat saya mau membayar di bank BNI di bank tersebut memiliki keterangan dengan tidak ada tagihan untuk nim saya,namun di sistem memiliki keterangan belum lunas terima kasih",BAA,1,213,haidar komplain bayar bank bni bank milik terang tagih nim sayanamun sistem milik terang lunas
3,"permisi saya mau komplain, biaya pendidikan saya sudah lunas semua tetapi kenapa status biaya pendidikan saya pada surat pernyattaan dan formulir biodata ijazah saya masih ""belum lunas""
",BAA,1,186,permisi komplain biaya didik lunas status biaya didik surat pernyattaan formulir biodata ijazah lunas
4,"""Assalamualaikum wr wb.Maaf pak, saya sudah meminta cancel  untuk KSM saya ke dosen wali selama 3 hari dikarenakan kesalahan input  dan adanya MK yang belum terambil oleh saya. Namun setelah cek jam 10  pagi tadi KSM saya malah di acc oleh dosen wali saya. Saya takut kelas  yang tidak terambil oleh saya itu penuh setelah proses cancel KSM  selesai.
Terima Kasih.""
",BAA,1,366,wbmaaf cancel ksm dosen wali salah input mk ambil cek jam ksm acc dosen wali takut kelas ambil penuh proses cancel ksm selesai
5,"Assalamualaikum pak/bu, saya Rizqillah Zahra (1301144120), saya tidak lulus yudisium Agustus 2018 sehingga saya harus registrasi ulang matakuliah. Saya sudah melakukan registrasi lewat igracias, namun belum bisa melakukan pembayaran BPP. Teller Mandiri mengatakan jaringan layanan Telkom sedang Offline sehingga pembayaran ditolak. Mohon pencerahannya pak/bu, agar saya bisa melakukan cetak KSM dan memperpanjang SK TA. Terimakasih sebelumnya
",BAA,1,443,pakbu rizqillah zahra lulus yudisium agustus registrasi ulang matakuliah laku registrasi igracias laku bayar bpp teller mandiri jaring layan telkom offline bayar tolak cerah pakbu laku cetak ksm sk ta
6,"""Saya lupa melakukan cetak nilai akhir (KHS), saya ingin melakukan cetak nilai KHS namun pilihan menampilkan nilai di Igracias sudah tidak ada. Bagaimana solusinya? ;
Terimakasih""
",BAA,1,180,lupa laku cetak nilai khs laku cetak nilai khs pilih tampil nilai igracias solusi
7,"saya ingin mencetak transkip nilai akhir tapi menu nilai pada igracias sudah tidak ada, solusinya bagaimana ya?",BAA,1,111,cetak transkip nilai menu nilai igracias solusi ya
8,"""Selamat siang, ;
Saya Aulia Fiya Maulida Mahasiswi Desain Interior dengan NIM 1603151184, ingin mengajukan komplain terkait transkrip nilai akademik di iGracias. ;
Pada halaman nilai di igracias saya tertulis belum lulus sidang tingkat III, padahal saya telah menyelesaikan semua mata kuliah wajib dan satu pilihan di tingkat tersebut. Hal ini perlu dikoreksi agar saya dapat menyelesaikan proses sidang akhir pada semester ini. Berikut terlampir screenshot dari laman nilai igracias saya.
Mohon kepada admin untuk mengcross-check masalah tersebut, terimakasih.""",BAA,1,563,aulia fiya maulida mahasiswi desain interior nim aju komplain kait transkrip nilai akademik igracias halaman nilai igracias tulis lulus sidang tingkat iii selesai mata kuliah wajib pilih tingkat koreksi selesai proses sidang semester lampir screenshot laman nilai igracias admin mengcrosscheck
9,"saya ingin mencetak transkip nilai akhir tapi menu nilai pada igracias sudah tidak ada, solusinya bagaimana ya?",BAA,1,111,cetak transkip nilai menu nilai igracias solusi ya
