keluhan;bagian
Dear BAA Mohon di bantu untuk merubah status akademik A.N Rezza RIjki Adiputra di Forlap dikti, karena status nya disana masih Mahasiswa Aktif Semester 5.mohon di bantu.dilampirkan statusnya dengan gambar di bawah ini.B/RRezza Rijki Adiputra085724013138;BAA
"Dear BAA Telkom University,
Saya sebagai salah satu Alumni TelU. Apa saya bisa melihat data TAK saya? Karena saya membutuhkan data tersebut. Mohon bantuan dan tanggapannya. Terima Kasih.
Regards,
Radian";BAA
Mohon maaf saya haidar mau komplain pada saat saya mau membayar di bank BNI di bank tersebut memiliki keterangan dengan tidak ada tagihan untuk nim saya,namun di sistem memiliki keterangan belum lunas terima kasih;BAA
"permisi saya mau komplain, biaya pendidikan saya sudah lunas semua tetapi kenapa status biaya pendidikan saya pada surat pernyattaan dan formulir biodata ijazah saya masih ""belum lunas""
";BAA
"""Assalamualaikum wr wb.Maaf pak, saya sudah meminta cancel  untuk KSM saya ke dosen wali selama 3 hari dikarenakan kesalahan input  dan adanya MK yang belum terambil oleh saya. Namun setelah cek jam 10  pagi tadi KSM saya malah di acc oleh dosen wali saya. Saya takut kelas  yang tidak terambil oleh saya itu penuh setelah proses cancel KSM  selesai.
Terima Kasih.""
";BAA
"Assalamualaikum pak/bu, saya Rizqillah Zahra (1301144120), saya tidak lulus yudisium Agustus 2018 sehingga saya harus registrasi ulang matakuliah. Saya sudah melakukan registrasi lewat igracias, namun belum bisa melakukan pembayaran BPP. Teller Mandiri mengatakan jaringan layanan Telkom sedang Offline sehingga pembayaran ditolak. Mohon pencerahannya pak/bu, agar saya bisa melakukan cetak KSM dan memperpanjang SK TA. Terimakasih sebelumnya
";BAA
"""Saya lupa melakukan cetak nilai akhir (KHS), saya ingin melakukan cetak nilai KHS namun pilihan menampilkan nilai di Igracias sudah tidak ada. Bagaimana solusinya? ;
Terimakasih""
";BAA
saya ingin mencetak transkip nilai akhir tapi menu nilai pada igracias sudah tidak ada, solusinya bagaimana ya?;BAA
"""Selamat siang, ;
Saya Aulia Fiya Maulida Mahasiswi Desain Interior dengan NIM 1603151184, ingin mengajukan komplain terkait transkrip nilai akademik di iGracias. ;
Pada halaman nilai di igracias saya tertulis belum lulus sidang tingkat III, padahal saya telah menyelesaikan semua mata kuliah wajib dan satu pilihan di tingkat tersebut. Hal ini perlu dikoreksi agar saya dapat menyelesaikan proses sidang akhir pada semester ini. Berikut terlampir screenshot dari laman nilai igracias saya.
Mohon kepada admin untuk mengcross-check masalah tersebut, terimakasih.""";BAA
saya ingin mencetak transkip nilai akhir tapi menu nilai pada igracias sudah tidak ada, solusinya bagaimana ya?;BAA
"Sebelumnya saya mengucapkan terima kasih telah dibantu untuk legalisasi ijazah dan transkrip secara online.
Saya ingin memberikan masukan. Untuk dokumen legalisasi yg dikirim, mohon untuk dapat diletakkan dengan map yang berbahan keras  ;yang berguna untuk melindungi itu sendiri.
Hal ini saya sampaikan karena dokumen yang saya terima tertekuk dan terlipat.
Terimakasih.";BAA
Saya sudah input pengajuan untuk legalisir ijazah dan transkip nilai, kenapa belum ada reply untuk pembayaran dan info untuk legalisirnya?;BAA
"""Saya ingin menggunakan aplikasi DeLa untuk keperluan legalisasi Ijazah Transkrip Nilai, tetapi ketika saya login dengan menggunakan akun igracias yang saya miliki tidak bisa. Kemudian saya mencoba untuk membuat akun baru dan tidak bisa juga dengan keterangan """"failed, Your Account Already Exist"""".
Mohon bantuannya karena saya sangat membutuhkan legalisasi tersebut. Terimakasih. :)""";BAA
"""saya cek menu kelengkapan sidang (5) terdapat gambar seperti gambar 1, kemudian saya cek menu daftar sidang (4) terdapat gambar seperti gambar 2, kemudian saya cek profil saya terdapat gambar seperti gambar 3, kemudian pada menu daftar sidang dan klik cetak form ijazah dan transkip muncul gambar seperti gambar 4
apakah bisa di perbaiki menghilangkan foto yang bertuliskan kurang lebih 'maaf ijazah file sma blm di upload ...'""";BAA
Saya sudah mendaftar sidang dan yudisium menggunakan LOA dan form lainnya , dan sudah membayar wisuda dan toga dan tidak ada tunggakan biaya semester , namun di bagian sub wisuda , saya dinyatakan belum membayar wisuda dan masih ada tunggakan semester , itu kenapa ya pak / bu? Terimakasih;BAA
Saya sudah lunas pembayaran wisuda. Apakah bisa untuk aktivasi registrasi wisuda tanpa harus ke admin? Soalnya masih ada urusan diluar. Apakah wisuda november memiliki maks kuota wisudawan?;BAA
Saya Muhammad Damar Hafizh NPM. 1401144241, ingin bertanya terkait registrasi Wisuda Periode November 2018, terlampir bahwasanya saya sudah registrasi wisuda justru kolom merah keluar lagi yang menyatakan saya belum upload openlibrary, padahal sebelumnya sudah hijau, lalu saya mengupload foto berjas hitam dengan latar terang, apakah tidak masalah Pak/Bu? Dan juga saya memohon untuk dibuka kembali update pendaftaran wisuda karena lupa menyimpan form Wisuda. Terima Kasih.;BAA
